caregiver_information.caregiver_identifier -> healthcare_provider_information.provider_identifier
caregiver_information.caregiver_description -> healthcare_provider_information.provider_source_identifier
caregiver_information.caregiver_title -> healthcare_provider_information.provider_description
caregiver_information.record_identifier -> NA,NA
datetime_event_records.caregiver_identifier -> NA,NA
datetime_event_records.event_time -> clinical_observation.observation_datetime
datetime_event_records.error_flag -> NA,NA
datetime_event_records.hospital_admission_identifier -> NA,NA
datetime_event_records.intensive_care_unit_stay_identifier -> NA,NA
datetime_event_records.charted_item_identifier -> clinical_observation.observation_source_value_text
datetime_event_records.lab_data_result_status -> NA,NA
datetime_event_records.record_identifier -> NA,NA
datetime_event_records.event_stopped_status -> NA,NA
datetime_event_records.recorded_time -> NA,NA
datetime_event_records.patient_identifier -> NA,NA
datetime_event_records.event_value_text -> NA,NA
datetime_event_records.unit_of_measurement -> clinical_observation.unit_source_value_text
datetime_event_records.warning_flag -> NA,NA
diagnosis_group_codes.diagnosis_group_description -> clinical_observation.result_as_text
diagnosis_group_codes.diagnosis_group_code -> clinical_observation.observation_source_value_text
diagnosis_group_codes.diagnosis_group_mortality -> NA,NA
diagnosis_group_codes.diagnosis_group_severity -> NA,NA
diagnosis_group_codes.diagnosis_group_type -> clinical_observation.unit_source_value_text
diagnosis_group_codes.hospital_admission_identifier -> NA,NA
diagnosis_group_codes.record_identifier -> NA,NA
diagnosis_group_codes.patient_identifier -> NA,NA
disease_classification_codes.disease_code -> standardized_vocabulary.concept_source_code
disease_classification_codes.disease_long_title -> standardized_vocabulary.concept_display_name
disease_classification_codes.record_identifier -> NA,NA
disease_classification_codes.disease_short_title -> standardized_vocabulary.concept_display_name
fluid_input_events.administered_amount -> NA,NA
fluid_input_events.administered_amount_unit -> NA,NA
fluid_input_events.cancellation_reason -> NA,NA
fluid_input_events.caregiver_identifier -> NA,NA
fluid_input_events.cancellation_by_caregiver -> NA,NA
fluid_input_events.modification_time -> NA,NA
fluid_input_events.edited_by_caregiver -> NA,NA
fluid_input_events.continued_in_next_department -> NA,NA
fluid_input_events.event_end_time -> NA,NA
fluid_input_events.hospital_admission_identifier -> NA,NA
fluid_input_events.intensive_care_unit_stay_identifier -> NA,NA
fluid_input_events.solution_bag_open_status -> NA,NA
fluid_input_events.charted_item_identifier -> NA,NA
fluid_input_events.linked_order_identifier -> NA,NA
fluid_input_events.administered_item_type_description -> NA,NA
fluid_input_events.administered_item_group_name -> NA,NA
fluid_input_events.administered_item_role_description -> NA,NA
fluid_input_events.order_identifier -> NA,NA
fluid_input_events.original_charted_amount -> NA,NA
fluid_input_events.original_administration_rate -> NA,NA
fluid_input_events.weight_used_for_dosing -> NA,NA
fluid_input_events.current_administration_rate -> NA,NA
fluid_input_events.current_administration_rate_unit -> NA,NA
fluid_input_events.record_identifier -> NA,NA
fluid_input_events.secondary_item_group_name -> NA,NA
fluid_input_events.event_start_time -> NA,NA
fluid_input_events.current_order_status_description -> NA,NA
fluid_input_events.recorded_time -> NA,NA
fluid_input_events.patient_identifier -> NA,NA
fluid_input_events.total_solution_amount -> NA,NA
fluid_input_events.total_solution_amount_unit -> NA,NA
hospital_admission_procedures.hospital_admission_identifier -> NA,NA
hospital_admission_procedures.disease_code -> medical_procedure_record.procedure_source_code
hospital_admission_procedures.record_identifier -> medical_procedure_record.procedure_record_identifier
hospital_admission_procedures.procedure_sequence_number -> NA,NA
hospital_admission_procedures.patient_identifier -> NA,NA
