consultation_details.event_date -> visit_detail_information.visit_end_date
consultation_details.event_date -> visit_detail_information.visit_start_date
consultation_details.consultation_identifier -> visit_detail_information.visit_source_code
consultation_details.consultation_identifier -> visit_detail_information.visit_detail_identifier
consultation_details.consultation_identifier -> visit_detail_information.visit_concept_identifier
consultation_details.consultation_identifier -> standardized_clinical_terms.concept_unique_identifier
consultation_details.consultation_source_code_identifier -> NA,NA
consultation_details.consultation_source_identifier -> NA,NA
consultation_details.consultation_type -> NA,NA
consultation_details.entered_date -> NA,NA
consultation_details.patient_identifier -> NA,NA
consultation_details.practice_identifier -> NA,NA
consultation_details.staff_member_identifier -> NA,NA
medical_observation.consultation_identifier -> NA,NA
medical_observation.entered_date -> NA,NA
medical_observation.medical_code_identifier -> NA,NA
medical_observation.numeric_range_high -> NA,NA
medical_observation.numeric_range_low -> NA,NA
medical_observation.numeric_unit_identifier -> NA,NA
medical_observation.observation_date -> visit_detail_information.visit_end_date
medical_observation.observation_date -> visit_detail_information.visit_start_date
medical_observation.observation_identifier -> visit_detail_information.visit_detail_identifier
medical_observation.observation_type_identifier -> NA,NA
medical_observation.parent_observation_identifier -> visit_detail_information.parent_visit_identifier
medical_observation.patient_identifier -> NA,NA
medical_observation.practice_identifier -> NA,NA
medical_observation.problem_observation_identifier -> NA,NA
medical_observation.staff_member_identifier -> NA,NA
medical_observation.measurement_value -> NA,NA
patient_demographics_and_registration.quality_standard_flag -> NA,NA
patient_demographics_and_registration.estimated_death_date -> death_event.death_date
patient_demographics_and_registration.recorded_death_date_software -> NA,NA
patient_demographics_and_registration.patient_gender -> patient_information.gender_standard_concept_identifier
patient_demographics_and_registration.month_of_birth -> patient_information.birth_month
patient_demographics_and_registration.patient_identifier -> death_event.person_identifier
patient_demographics_and_registration.patient_identifier -> clinical_observation_time_span.person_identifier
patient_demographics_and_registration.patient_identifier -> patient_information.person_identifier
patient_demographics_and_registration.patient_identifier -> patient_information.person_source_key
patient_demographics_and_registration.patient_category_identifier -> NA,NA
patient_demographics_and_registration.practice_identifier -> NA,NA
patient_demographics_and_registration.registration_end_date -> clinical_observation_time_span.observation_end_date
patient_demographics_and_registration.registration_start_date -> clinical_observation_time_span.observation_start_date
patient_demographics_and_registration.assigned_general_practitioner_identifier -> patient_information.primary_provider_identifier
patient_demographics_and_registration.year_of_birth -> patient_information.birth_year
patient_referral_information.observation_identifier -> NA,NA
patient_referral_information.patient_identifier -> NA,NA
patient_referral_information.practice_identifier -> NA,NA
patient_referral_information.referral_mode_identifier -> NA,NA
patient_referral_information.referral_service_type_identifier -> NA,NA
patient_referral_information.referral_source_organization_identifier -> NA,NA
patient_referral_information.referral_target_organization_identifier -> NA,NA
patient_referral_information.referral_urgency_identifier -> NA,NA
practice_information.last_collection_date -> clinical_observation_time_span.observation_end_date
practice_information.practice_identifier -> healthcare_delivery_unit.unit_identifier
practice_information.practice_identifier -> clinical_observation_time_span.person_identifier
practice_information.practice_region -> healthcare_delivery_unit.location_identifier
practice_information.practice_region -> geographic_location_information.location_identifier
practice_information.practice_region -> geographic_location_information.location_source_identifier
practice_information.up_to_standard_date -> NA,NA
practice_staff_details.job_category_identifier -> healthcare_provider.specialty_standard_concept_identifier
practice_staff_details.practice_identifier -> NA,NA
practice_staff_details.staff_member_identifier -> healthcare_provider.provider_source_identifier
practice_staff_details.staff_member_identifier -> healthcare_provider.provider_identifier
prescription_details.dosage_identifier -> NA,NA
prescription_details.drug_record_identifier -> NA,NA
prescription_details.treatment_duration_days -> NA,NA
prescription_details.entered_date -> NA,NA
prescription_details.estimated_national_health_service_cost -> NA,NA
prescription_details.event_date -> NA,NA
prescription_details.issue_record_identifier -> NA,NA
prescription_details.patient_identifier -> NA,NA
prescription_details.practice_identifier -> NA,NA
prescription_details.problem_observation_identifier -> NA,NA
prescription_details.drug_code_identifier -> NA,NA
prescription_details.prescribed_quantity -> NA,NA
prescription_details.quantity_unit_identifier -> NA,NA
prescription_details.staff_member_identifier -> NA,NA
problem_history.expected_duration_days -> NA,NA
problem_history.last_review_date -> NA,NA
problem_history.last_review_staff_identifier -> NA,NA
problem_history.observation_identifier -> NA,NA
problem_history.parent_problem_observation_identifier -> NA,NA
problem_history.parent_problem_relationship_identifier -> NA,NA
problem_history.patient_identifier -> NA,NA
problem_history.practice_identifier -> NA,NA
problem_history.problem_end_date -> NA,NA
problem_history.problem_status_identifier -> NA,NA
problem_history.significance_identifier -> NA,NA
