beneficiarysummary.bene_birth_dt (beneficiarysummary.bene_birth_dt) -> person.month_of_birth(person.month_of_birth) -> None.None
beneficiarysummary.bene_birth_dt (beneficiarysummary.bene_birth_dt) -> person.year_of_birth(person.year_of_birth) -> None.None
beneficiarysummary.bene_birth_dt (beneficiarysummary.bene_birth_dt) -> person.day_of_birth(person.day_of_birth) -> None.None
beneficiarysummary.bene_county_cd (beneficiarysummary.bene_county_cd) -> person.location_id(person.location_id) -> location.location_id
beneficiarysummary.bene_county_cd (beneficiarysummary.bene_county_cd) -> location.location_source_value(location.location_source_value) -> None.None
beneficiarysummary.bene_county_cd (beneficiarysummary.bene_county_cd) -> location.county(location.county) -> None.None
beneficiarysummary.bene_death_dt (beneficiarysummary.bene_death_dt) -> death.death_date(death.death_date) -> None.None
beneficiarysummary.bene_esrd_ind (beneficiarysummary.bene_esrd_ind) -> cohort.cohort_definition_id(cohort.cohort_definition_id) -> None.None
beneficiarysummary.bene_esrd_ind (beneficiarysummary.bene_esrd_ind) -> cohort_definition.cohort_definition_name(cohort_definition.cohort_definition_name) -> None.None
beneficiarysummary.bene_hi_cvrage_tot_mons (beneficiarysummary.bene_hi_cvrage_tot_mons) -> payer_plan_period.plan_source_value(payer_plan_period.plan_source_value) -> None.None
beneficiarysummary.bene_hmo_cvrage_tot_mons (beneficiarysummary.bene_hmo_cvrage_tot_mons) -> payer_plan_period.plan_source_value(payer_plan_period.plan_source_value) -> None.None
beneficiarysummary.bene_race_cd (beneficiarysummary.bene_race_cd) -> person.ethnicity_source_value(person.ethnicity_source_value) -> None.None
beneficiarysummary.bene_race_cd (beneficiarysummary.bene_race_cd) -> person.race_concept_id(person.race_concept_id) -> concept.concept_id
beneficiarysummary.bene_race_cd (beneficiarysummary.bene_race_cd) -> person.ethnicity_concept_id(person.ethnicity_concept_id) -> concept.concept_id
beneficiarysummary.bene_race_cd (beneficiarysummary.bene_race_cd) -> person.race_source_value(person.race_source_value) -> None.None
beneficiarysummary.bene_sex_ident_cd (beneficiarysummary.bene_sex_ident_cd) -> person.gender_source_concept_id(person.gender_source_concept_id) -> concept.concept_id
beneficiarysummary.bene_sex_ident_cd (beneficiarysummary.bene_sex_ident_cd) -> person.gender_source_value(person.gender_source_value) -> None.None
beneficiarysummary.bene_sex_ident_cd (beneficiarysummary.bene_sex_ident_cd) -> person.gender_concept_id(person.gender_concept_id) -> concept.concept_id
beneficiarysummary.bene_smi_cvrage_tot_mons (beneficiarysummary.bene_smi_cvrage_tot_mons) -> payer_plan_period.plan_source_value(payer_plan_period.plan_source_value) -> None.None
beneficiarysummary.benres_car (beneficiarysummary.benres_car) -> NA,NA
beneficiarysummary.benres_ip (beneficiarysummary.benres_ip) -> NA,NA
beneficiarysummary.benres_op (beneficiarysummary.benres_op) -> NA,NA
beneficiarysummary.desynpuf_id (beneficiarysummary.desynpuf_id) -> cohort.subject_id(cohort.subject_id) -> None.None
beneficiarysummary.desynpuf_id (beneficiarysummary.desynpuf_id) -> person.person_source_value(person.person_source_value) -> None.None
beneficiarysummary.desynpuf_id (beneficiarysummary.desynpuf_id) -> person.person_id(person.person_id) -> None.None
beneficiarysummary.desynpuf_id (beneficiarysummary.desynpuf_id) -> death.person_id(death.person_id) -> person.person_id
beneficiarysummary.desynpuf_id (beneficiarysummary.desynpuf_id) -> payer_plan_period.person_id(payer_plan_period.person_id) -> person.person_id
beneficiarysummary.medreimb_car (beneficiarysummary.medreimb_car) -> NA,NA
beneficiarysummary.medreimb_ip (beneficiarysummary.medreimb_ip) -> NA,NA
beneficiarysummary.medreimb_op (beneficiarysummary.medreimb_op) -> NA,NA
beneficiarysummary.plan_cvrg_mos_num (beneficiarysummary.plan_cvrg_mos_num) -> payer_plan_period.plan_source_value(payer_plan_period.plan_source_value) -> None.None
beneficiarysummary.pppymt_car (beneficiarysummary.pppymt_car) -> NA,NA
beneficiarysummary.pppymt_ip (beneficiarysummary.pppymt_ip) -> NA,NA
beneficiarysummary.pppymt_op (beneficiarysummary.pppymt_op) -> NA,NA
beneficiarysummary.sp_alzhdmta (beneficiarysummary.sp_alzhdmta) -> cohort.cohort_definition_id(cohort.cohort_definition_id) -> None.None
beneficiarysummary.sp_alzhdmta (beneficiarysummary.sp_alzhdmta) -> cohort_definition.cohort_definition_name(cohort_definition.cohort_definition_name) -> None.None
beneficiarysummary.sp_chf (beneficiarysummary.sp_chf) -> cohort.cohort_definition_id(cohort.cohort_definition_id) -> None.None
beneficiarysummary.sp_chf (beneficiarysummary.sp_chf) -> cohort_definition.cohort_definition_name(cohort_definition.cohort_definition_name) -> None.None
