Medicare_Beneficiary_Summary.date_of_birth (beneficiarysummary.bene_birth_dt) -> person_information.year_of_birth(person.year_of_birth) -> None.None
Medicare_Beneficiary_Summary.date_of_birth (beneficiarysummary.bene_birth_dt) -> person_information.day_of_birth(person.day_of_birth) -> None.None
Medicare_Beneficiary_Summary.date_of_birth (beneficiarysummary.bene_birth_dt) -> person_information.month_of_birth(person.month_of_birth) -> None.None
Medicare_Beneficiary_Summary.county_code (beneficiarysummary.bene_county_cd) -> geographic_location.location_source_value(location.location_source_value) -> None.None
Medicare_Beneficiary_Summary.county_code (beneficiarysummary.bene_county_cd) -> person_information.geographic_location_identifier(person.location_id) -> geographic_location.geographic_location_identifier
Medicare_Beneficiary_Summary.county_code (beneficiarysummary.bene_county_cd) -> geographic_location.county(location.county) -> None.None
Medicare_Beneficiary_Summary.date_of_death (beneficiarysummary.bene_death_dt) -> death_event.death_date(death.death_date) -> None.None
Medicare_Beneficiary_Summary.end_stage_renal_disease_indicator (beneficiarysummary.bene_esrd_ind) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.end_stage_renal_disease_indicator (beneficiarysummary.bene_esrd_ind) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
Medicare_Beneficiary_Summary.total_months_part_a_coverage (beneficiarysummary.bene_hi_cvrage_tot_mons) -> enrollment_period.plan_source_code(payer_plan_period.plan_source_value) -> None.None
Medicare_Beneficiary_Summary.total_months_hmo_coverage (beneficiarysummary.bene_hmo_cvrage_tot_mons) -> enrollment_period.plan_source_code(payer_plan_period.plan_source_value) -> None.None
Medicare_Beneficiary_Summary.beneficiary_race_code (beneficiarysummary.bene_race_cd) -> person_information.ethnicity_source_value(person.ethnicity_source_value) -> None.None
Medicare_Beneficiary_Summary.beneficiary_race_code (beneficiarysummary.bene_race_cd) -> person_information.race_source_value(person.race_source_value) -> None.None
Medicare_Beneficiary_Summary.beneficiary_race_code (beneficiarysummary.bene_race_cd) -> person_information.race_concept_id(person.race_concept_id) -> None.None
Medicare_Beneficiary_Summary.beneficiary_race_code (beneficiarysummary.bene_race_cd) -> person_information.ethnicity_concept_id(person.ethnicity_concept_id) -> None.None
Medicare_Beneficiary_Summary.sex (beneficiarysummary.bene_sex_ident_cd) -> person_information.gender_source_value(person.gender_source_value) -> None.None
Medicare_Beneficiary_Summary.sex (beneficiarysummary.bene_sex_ident_cd) -> person_information.gender_concept_id(person.gender_concept_id) -> None.None
Medicare_Beneficiary_Summary.sex (beneficiarysummary.bene_sex_ident_cd) -> person_information.gender_source_concept_id(person.gender_source_concept_id) -> None.None
Medicare_Beneficiary_Summary.total_months_part_b_coverage (beneficiarysummary.bene_smi_cvrage_tot_mons) -> enrollment_period.plan_source_code(payer_plan_period.plan_source_value) -> None.None
Medicare_Beneficiary_Summary.carrier_annual_beneficiary_responsibility_amount (beneficiarysummary.benres_car) -> NA,NA
Medicare_Beneficiary_Summary.inpatient_annual_beneficiary_responsibility_amount (beneficiarysummary.benres_ip) -> NA,NA
Medicare_Beneficiary_Summary.outpatient_institutional_annual_beneficiary_responsibility_amount (beneficiarysummary.benres_op) -> NA,NA
Medicare_Beneficiary_Summary.beneficiary_code (beneficiarysummary.desynpuf_id) -> enrollment_period.person_identifier(payer_plan_period.person_id) -> person_information.person_identifier
Medicare_Beneficiary_Summary.beneficiary_code (beneficiarysummary.desynpuf_id) -> subject_cohort.subject_identifier(cohort.subject_id) -> None.None
Medicare_Beneficiary_Summary.beneficiary_code (beneficiarysummary.desynpuf_id) -> person_information.person_identifier(person.person_id) -> None.None
Medicare_Beneficiary_Summary.beneficiary_code (beneficiarysummary.desynpuf_id) -> person_information.person_source_value(person.person_source_value) -> None.None
Medicare_Beneficiary_Summary.beneficiary_code (beneficiarysummary.desynpuf_id) -> death_event.deceased_person_identifier(death.person_id) -> person_information.person_identifier
Medicare_Beneficiary_Summary.carrier_annual_medicare_reimbursement_amount (beneficiarysummary.medreimb_car) -> NA,NA
Medicare_Beneficiary_Summary.inpatient_annual_medicare_reimbursement_amount (beneficiarysummary.medreimb_ip) -> NA,NA
Medicare_Beneficiary_Summary.outpatient_institutional_annual_medicare_reimbursement_amount (beneficiarysummary.medreimb_op) -> NA,NA
Medicare_Beneficiary_Summary.total_months_part_d_plan_coverage (beneficiarysummary.plan_cvrg_mos_num) -> enrollment_period.plan_source_code(payer_plan_period.plan_source_value) -> None.None
Medicare_Beneficiary_Summary.carrier_annual_primary_payer_reimbursement_amount (beneficiarysummary.pppymt_car) -> NA,NA
Medicare_Beneficiary_Summary.inpatient_annual_primary_payer_reimbursement_amount (beneficiarysummary.pppymt_ip) -> NA,NA
Medicare_Beneficiary_Summary.outpatient_institutional_annual_primary_payer_reimbursement_amount (beneficiarysummary.pppymt_op) -> NA,NA
Medicare_Beneficiary_Summary.chronic_condition_alzheimers_related_disorders_or_senile (beneficiarysummary.sp_alzhdmta) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_alzheimers_related_disorders_or_senile (beneficiarysummary.sp_alzhdmta) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_heart_failure (beneficiarysummary.sp_chf) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_heart_failure (beneficiarysummary.sp_chf) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_chronic_kidney_disease (beneficiarysummary.sp_chrnkidn) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_chronic_kidney_disease (beneficiarysummary.sp_chrnkidn) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_cancer (beneficiarysummary.sp_cncr) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_cancer (beneficiarysummary.sp_cncr) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_chronic_obstructive_pulmonary_disease (beneficiarysummary.sp_copd) -> subject_cohort.cohort_definition_identifier(cohort.cohort_definition_id) -> None.None
Medicare_Beneficiary_Summary.chronic_condition_chronic_obstructive_pulmonary_disease (beneficiarysummary.sp_copd) -> subject_cohort_definition.cohort_short_description(cohort_definition.cohort_definition_name) -> None.None
