alternate_titles.additional_terms (title_akas.attributes) -> film_description.plot_summary(film_text.description) -> None.None
alternate_titles.additional_terms (title_akas.attributes) -> movie.short_description(film.description) -> None.None
alternate_titles.is_original_title (title_akas.isoriginaltitle) -> NA,NA 
alternate_titles.title_language (title_akas.language) -> movie.language_identifier(film.language_id) -> language_lookup.language_identifier
alternate_titles.title_language (title_akas.language) -> language_lookup.language_identifier(language.language_id) -> None.None
alternate_titles.title_order (title_akas.ordering) -> NA,NA 
alternate_titles.title_region (title_akas.region) -> movie.original_language_identifier(film.original_language_id) -> language_lookup.language_identifier
alternate_titles.localized_title (title_akas.title) -> film_description.film_title(film_text.title) -> None.None
alternate_titles.localized_title (title_akas.title) -> movie.movie_title(film.title) -> None.None
alternate_titles.title_identifier (title_akas.titleid) -> movie_category_relationship.movie_identifier(film_category.film_id) -> movie.movie_identifier
alternate_titles.title_identifier (title_akas.titleid) -> movie.movie_identifier(film.film_id) -> None.None
alternate_titles.title_identifier (title_akas.titleid) -> film_description.film_identifier(film_text.film_id) -> None.None
alternate_titles.title_identifier (title_akas.titleid) -> film_actor_relationship.film_identifier(film_actor.film_id) -> movie.movie_identifier
alternate_titles.title_attributes (title_akas.types) -> movie.common_special_features(film.special_features) -> None.None
person_information.year_of_birth (name_basics.birthyear) -> NA,NA 
person_information.year_of_death (name_basics.deathyear) -> NA,NA 
person_information.known_for (name_basics.knownfortitles) -> NA,NA 
person_information.person_identifier (name_basics.nconst) -> actor_information.actor_identifier(actor.actor_id) -> None.None
person_information.person_identifier (name_basics.nconst) -> film_actor_relationship.actor_identifier(film_actor.actor_id) -> actor_information.actor_identifier
person_information.credited_name (name_basics.primaryname) -> actor_information.actor_last_name(actor.last_name) -> None.None
person_information.credited_name (name_basics.primaryname) -> actor_information.actor_first_name(actor.first_name) -> None.None
person_information.top_professions (name_basics.primaryprofession) -> NA,NA 
title_cast_and_crew.job_category (title_principals.category) -> NA,NA 
title_cast_and_crew.character_name (title_principals.characters) -> NA,NA 
title_cast_and_crew.job_title (title_principals.job) -> NA,NA 
title_cast_and_crew.person_identifier (title_principals.nconst) -> NA,NA 
title_cast_and_crew.title_order (title_principals.ordering) -> NA,NA 
title_cast_and_crew.title_identifier (title_principals.tconst) -> NA,NA 
title_crew_information.director_identifiers (title_crew.directors) -> NA,NA 
title_crew_information.title_identifier (title_crew.tconst) -> movie_category_relationship.movie_identifier(film_category.film_id) -> movie.movie_identifier
title_crew_information.title_identifier (title_crew.tconst) -> movie.movie_identifier(film.film_id) -> None.None
title_crew_information.title_identifier (title_crew.tconst) -> film_description.film_identifier(film_text.film_id) -> None.None
title_crew_information.title_identifier (title_crew.tconst) -> film_actor_relationship.film_identifier(film_actor.film_id) -> movie.movie_identifier
title_crew_information.writer_identifiers (title_crew.writers) -> NA,NA 
title_information.end_year (title_basics.endyear) -> movie.release_year(film.release_year) -> None.None
title_information.associated_genres (title_basics.genres) -> movie_category_relationship.category_identifier(film_category.category_id) -> film_category.category_identifier
title_information.adult (title_basics.isadult) -> movie.movie_rating(film.rating) -> None.None
title_information.original_title (title_basics.originaltitle) -> movie.movie_title(film.title) -> None.None
title_information.popular_title (title_basics.primarytitle) -> film_description.film_title(film_text.title) -> None.None
title_information.popular_title (title_basics.primarytitle) -> movie.movie_title(film.title) -> None.None
title_information.runtime_minutes (title_basics.runtimeminutes) -> movie.duration(film.length) -> None.None
title_information.release_year (title_basics.startyear) -> movie.release_year(film.release_year) -> None.None
title_information.title_identifier (title_basics.tconst) -> movie_category_relationship.movie_identifier(film_category.film_id) -> movie.movie_identifier
title_information.title_identifier (title_basics.tconst) -> movie.movie_identifier(film.film_id) -> None.None
title_information.title_identifier (title_basics.tconst) -> film_description.film_identifier(film_text.film_id) -> None.None
title_information.title_identifier (title_basics.tconst) -> film_actor_relationship.film_identifier(film_actor.film_id) -> movie.movie_identifier
title_information.title_format (title_basics.titletype) -> NA,NA 
title_rating_information.weighted_average_rating (title_ratings.averagerating) -> NA,NA 
title_rating_information.vote_count (title_ratings.numvotes) -> NA,NA 
title_rating_information.title_identifier (title_ratings.tconst) -> movie_category_relationship.movie_identifier(film_category.film_id) -> movie.movie_identifier
title_rating_information.title_identifier (title_ratings.tconst) -> movie.movie_identifier(film.film_id) -> None.None
title_rating_information.title_identifier (title_ratings.tconst) -> film_description.film_identifier(film_text.film_id) -> None.None
title_rating_information.title_identifier (title_ratings.tconst) -> film_actor_relationship.film_identifier(film_actor.film_id) -> movie.movie_identifier
tv_series_episode.episode_number (title_episode.episodenumber) -> NA,NA 
tv_series_episode.parent_identifier (title_episode.parenttconst) -> NA,NA 
tv_series_episode.season_number (title_episode.seasonnumber) -> NA,NA 
tv_series_episode.episode_identifier (title_episode.tconst) -> NA,NA 
