patients,gender,person,gender_concept_id
patients,birthdate,person,year_of_birth
patients,birthdate,person,month_of_birth
patients,birthdate,person,day_of_birth
patients,birthdate,person,birth_datetime
patients,deathdate,death,death_datetime
patients,race,person,race_concept_id
patients,ethnicity,person,ethnicity_concept_id
patients,id,person,person_source_value
patients,gender,person,gender_source_value
patients,race,person,race_source_value
patients,ethnicity,person,ethnicity_source_value
encounters,patient,visit_occurrence,person_id
encounters,encounterclass,visit_occurrence,visit_concept_id
encounters,start,visit_occurrence,visit_start_date
encounters,start,visit_occurrence,visit_start_datetime
encounters,stop,visit_occurrence,visit_end_date
encounters,stop,visit_occurrence,visit_end_datetime
encounters,encounterclass,visit_occurrence,visit_source_value
observations,patient,measurement,person_id
procedures,patient,measurement,person_id
observations,code,measurement,measurement_concept_id
procedures,code,measurement,measurement_concept_id
observations,date,measurement,measurement_date
procedures,date,measurement,measurement_date
observations,date,measurement,measurement_datetime
procedures,date,measurement,measurement_datetime
procedures,date,measurement,measurement_time
observations,value,measurement,value_as_number
observations,encounter,measurement,visit_occurrence_id
procedures,encounter,measurement,visit_occurrence_id
observations,code,measurement,measurement_source_value
procedures,code,measurement,measurement_source_value
observations,code,measurement,measurement_source_concept_id
procedures,code,measurement,measurement_source_concept_id
observations,units,measurement,unit_source_value
observations,value,measurement,value_source_value
procedures,patient,procedure_occurrence,person_id
procedures,code,procedure_occurrence,procedure_concept_id
procedures,date,procedure_occurrence,procedure_date
procedures,date,procedure_occurrence,procedure_datetime
procedures,encounter,procedure_occurrence,visit_occurrence_id
procedures,code,procedure_occurrence,procedure_source_value
procedures,code,procedure_occurrence,procedure_source_concept_id
conditions,patient,condition_occurrence,person_id
conditions,code,condition_occurrence,condition_concept_id
conditions,start,condition_occurrence,condition_start_date
conditions,start,condition_occurrence,condition_start_datetime
conditions,stop,condition_occurrence,condition_end_date
conditions,stop,condition_occurrence,condition_end_datetime
conditions,encounter,condition_occurrence,visit_occurrence_id
conditions,code,condition_occurrence,condition_source_value
conditions,code,condition_occurrence,condition_source_concept_id
allergies,patient,observation,person_id
conditions,patient,observation,person_id
allergies,code,observation,observation_concept_id
conditions,code,observation,observation_concept_id
allergies,start,observation,observation_date
conditions,start,observation,observation_date
allergies,start,observation,observation_datetime
conditions,start,observation,observation_datetime
allergies,encounter,observation,visit_occurrence_id
conditions,encounter,observation,visit_occurrence_id
allergies,code,observation,observation_source_value
conditions,code,observation,observation_source_value
allergies,code,observation,observation_source_concept_id
conditions,code,observation,observation_source_concept_id
encounters,patient,observation_period,person_id
encounters,start,observation_period,observation_period_start_date
encounters,stop,observation_period,observation_period_end_date
conditions,patient,drug_exposure,person_id
immunizations,patient,drug_exposure,person_id
medications,patient,drug_exposure,person_id
conditions,code,drug_exposure,drug_concept_id
immunizations,code,drug_exposure,drug_concept_id
medications,code,drug_exposure,drug_concept_id
conditions,start,drug_exposure,drug_exposure_start_date
immunizations,date,drug_exposure,drug_exposure_start_date
medications,start,drug_exposure,drug_exposure_start_date
conditions,start,drug_exposure,drug_exposure_start_datetime
immunizations,date,drug_exposure,drug_exposure_start_datetime
medications,start,drug_exposure,drug_exposure_start_datetime
conditions,stop,drug_exposure,drug_exposure_end_date
immunizations,date,drug_exposure,drug_exposure_end_date
medications,start,drug_exposure,drug_exposure_end_date
medications,stop,drug_exposure,drug_exposure_end_date
conditions,stop,drug_exposure,drug_exposure_end_datetime
immunizations,date,drug_exposure,drug_exposure_end_datetime
medications,start,drug_exposure,drug_exposure_end_datetime
medications,stop,drug_exposure,drug_exposure_end_datetime
conditions,stop,drug_exposure,verbatim_end_date
immunizations,date,drug_exposure,verbatim_end_date
medications,stop,drug_exposure,verbatim_end_date
medications,start,drug_exposure,days_supply
medications,stop,drug_exposure,days_supply
conditions,encounter,drug_exposure,visit_occurrence_id
immunizations,encounter,drug_exposure,visit_occurrence_id
medications,encounter,drug_exposure,visit_occurrence_id
conditions,code,drug_exposure,drug_source_value
immunizations,code,drug_exposure,drug_source_value
medications,code,drug_exposure,drug_source_value
conditions,code,drug_exposure,drug_source_concept_id
immunizations,code,drug_exposure,drug_source_concept_id
medications,code,drug_exposure,drug_source_concept_id
