person,gender_concept_id,patients,gender,A reference key that links to a unique gender identity in the concept table.,"The patient's gender. 'Male' for male, 'Female' for female."
person,year_of_birth,patients,birthdate,"The birth year of the person. If exact birth date is unavailable, an approximation based on age group is used.",The patient's birth date.
person,month_of_birth,patients,birthdate,The birth month of the person. Extracted from the precise birth date if available.,The patient's birth date.
person,day_of_birth,patients,birthdate,The birth day of the person. Extracted from the precise birth date if available.,The patient's birth date.
person,birth_datetime,patients,birthdate,The exact date and time of birth of the person.,The patient's birth date.
person,death_datetime,patients,deathdate,The exact date and time of death of the person.,The date of the patient's death.
person,race_concept_id,patients,race,A reference key that links to a unique race identity in the concept table.,Description of the patient's primary race.
person,ethnicity_concept_id,patients,race,A reference key that links to a unique ethnicity identity in the concept table.,Description of the patient's primary race.
person,ethnicity_concept_id,patients,ethnicity,A reference key that links to a unique ethnicity identity in the concept table.,Description of the patient's primary ethnicity.
person,person_source_value,patients,id,An encrypted key derived from the person identifier in the source data.,A unique identifier for the patient.
person,gender_source_value,patients,gender,The original code for the gender of the person from the source data.,"The patient's gender. 'Male' for male, 'Female' for female."
person,race_source_value,patients,race,The original code for the race of the person from the source data.,Description of the patient's primary race.
person,ethnicity_source_value,patients,ethnicity,The original code for the ethnicity of the person from the source data.,Description of the patient's primary ethnicity.
visit_occurrence,person_id,encounters,patient,"Foreign key identifier for the individual whose visit is recorded, with demographics stored in a separate table.",Foreign key referring to the respective patient.
visit_occurrence,visit_concept_id,encounters,encounterclass,Foreign key that refers to a standardized visit concept identifier in the 'visit' vocabulary.,"The category of the encounter, such as ambulatory, emergency, inpatient, wellness, or urgent care."
visit_occurrence,visit_start_date,encounters,start,The beginning date of the visit.,The date and time each patient encounter began.
visit_occurrence,visit_start_datetime,encounters,start,The date and time when the visit started.,The date and time each patient encounter began.
visit_occurrence,visit_end_date,encounters,stop,"The ending date of the visit, which should match the start date for one-day visits.",The date and time each patient encounter concluded.
visit_occurrence,visit_end_datetime,encounters,stop,The date and time when the visit ended.,The date and time each patient encounter concluded.
visit_occurrence,visit_source_value,encounters,encounterclass,The source code for the visit as represented in the source data.,"The category of the encounter, such as ambulatory, emergency, inpatient, wellness, or urgent care."
measurement,person_id,observations,patient,"A foreign key that identifies the person whose measurement was recorded, with demographic details stored in the person table.",A unique identifier that references the patient.
measurement,person_id,procedures,patient,"A foreign key that identifies the person whose measurement was recorded, with demographic details stored in the person table.",The reference to the specific patient.
measurement,measurement_concept_id,observations,code,A foreign key to the standard measurement concept identifier in the standardized vocabularies.,Observation or laboratory code from Logical Observation Identifiers Names and Codes (LOINC).
measurement,measurement_concept_id,procedures,code,A foreign key to the standard measurement concept identifier in the standardized vocabularies.,The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
measurement,measurement_date,observations,date,The date the measurement was taken.,The date the observation was performed.
measurement,measurement_date,procedures,date,The date the measurement was taken.,The date when the procedure was performed.
measurement,measurement_datetime,observations,date,"The date and time the measurement was taken, used for comprehensive temporal analyses.",The date the observation was performed.
measurement,measurement_datetime,procedures,date,"The date and time the measurement was taken, used for comprehensive temporal analyses.",The date when the procedure was performed.
measurement,measurement_time,procedures,date,"The time the measurement was taken, provided for backward compatibility.",The date when the procedure was performed.
measurement,value_as_number,observations,value,A measurement result expressed as a numeric value.,The recorded value of the observation.
measurement,visit_occurrence_id,observations,encounter,A foreign key to the visit during which the measurement was recorded.,A unique identifier that references the encounter where the observation was performed.
measurement,visit_occurrence_id,procedures,encounter,A foreign key to the visit during which the measurement was recorded.,The reference to the encounter in which the procedure was performed.
measurement,measurement_source_value,observations,code,"The original measurement name from the source data, mapped to a standard concept in the standardized vocabularies.",Observation or laboratory code from Logical Observation Identifiers Names and Codes (LOINC).
measurement,measurement_source_value,procedures,code,"The original measurement name from the source data, mapped to a standard concept in the standardized vocabularies.",The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
measurement,measurement_source_concept_id,observations,code,A foreign key to a concept in the standard vocabularies referring to the source code.,Observation or laboratory code from Logical Observation Identifiers Names and Codes (LOINC).
measurement,measurement_source_concept_id,procedures,code,A foreign key to a concept in the standard vocabularies referring to the source code.,The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
measurement,unit_source_value,observations,units,"The source code for the unit as it appears in the source data, mapped to a standard unit concept in the standardized vocabularies.",The units of measure for the recorded value.
measurement,value_source_value,observations,value,The source value associated with the numeric value or concept identifier as stored in the source data.,The recorded value of the observation.
procedure_occurrence,person_id,procedures,patient,A unique identifier referring to the patient who underwent the procedure. The patient's demographic details are stored in the patient table.,The reference to the specific patient.
procedure_occurrence,procedure_concept_id,procedures,code,An identifier that refers to a standard procedure concept in the standardized vocabularies.,The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
procedure_occurrence,procedure_date,procedures,date,The date on which the medical procedure was performed.,The date when the procedure was performed.
procedure_occurrence,procedure_datetime,procedures,date,The date and time at which the medical procedure was performed.,The date when the procedure was performed.
procedure_occurrence,visit_occurrence_id,procedures,encounter,An identifier referring to the visit during which the procedure was carried out.,The reference to the encounter in which the procedure was performed.
procedure_occurrence,procedure_source_value,procedures,code,"The source code for the procedure as it appears in the source data, typically being Icd-9-proc, Cpt-4, Hcpcs or Opcs-4 codes.",The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
procedure_occurrence,procedure_source_concept_id,procedures,code,An identifier referring to a procedure concept that corresponds to the code used in the source data.,The procedure code from Systematized Nomenclature of Medicine Clinical Terms.
condition_occurrence,person_id,conditions,patient,A foreign key identifier to the person experiencing the condition. Demographic details of that person are stored in the person table.,A reference key linking to the patient's record.
condition_occurrence,condition_concept_id,conditions,code,A foreign key that refers to a standard concept identifier in the standardized vocabularies belonging to the 'condition' domain.,The diagnosis code as per Snomed-Clinical Terms.
condition_occurrence,condition_start_date,conditions,start,The date when the instance of the condition is recorded.,The date the health condition was diagnosed.
