ADMISSIONS,ADMISSION_LOCATION,VISIT_OCCURRENCE,admitting_source_value,Information about the patient's location prior to hospital arrival.,The original value indicating where the patient was admitted from.
ADMISSIONS,DISCHARGE_LOCATION,VISIT_OCCURRENCE,discharge_to_source_value,Information about where the patient was discharged to.,An identifier for the location where the patient was discharged to after the visit.
ADMISSIONS,ETHNICITY,PERSON,ethnicity_concept_id,The ethnicity of the patient.,Ethnicity according to the definitions from the Office of Management and Budget (OMB) of the US Government.
CALLOUT,SUBJECT_ID,VISIT_DETAIL,person_id,Identifier for the patient corresponding to the given discharge event.,Identifier for the individual related to the visit.
CALLOUT,HADM_ID,VISIT_DETAIL,visit_occurrence_id,Identifier for the hospital admission corresponding to the given discharge event.,Identifier that links the visit detail record to its related visit occurrence.
CALLOUT,SUBMIT_WARDID,VISIT_DETAIL,care_site_id,Identifier for the ward from which the discharge request was submitted.,Identifier for the location where the Visit Detail took place.
CALLOUT,SUBMIT_CAREUNIT,VISIT_DETAIL,visit_detail_concept_id,Indicates whether the submission ward identifier corresponds to an Intensive Care Unit cost center and its type.,"Identifier represents the kind of visit detail, like inpatient or outpatient."
CALLOUT,CURR_WARDID,VISIT_DETAIL,admitting_source_value,Identifier for the ward where the patient resides at the time of the discharge request.,Identifier that represents where the patient was admitted from.
CALLOUT,DISCHARGE_WARDID,VISIT_DETAIL,discharge_to_source_value,Identifier for the ward to which the patient was actually discharged.,Information about where the patient was discharged to.
CALLOUT,OUTCOMETIME,VISIT_DETAIL,visit_start_datetime,The time the discharge outcome occurred.,The combined date and time when the encounter began.
CAREGIVERS,CGID,PROVIDER,provider_id,A unique identifier for each distinct caregiver present in the database.,"Unique identifier for each provider, assuming each unique ID corresponds to a different individual."
CAREGIVERS,LABEL,PROVIDER,provider_name,Defines the role of caregiver.,Full name of the provider.
CAREGIVERS,DESCRIPTION,PROVIDER,provider_source_value,Provides further details about the caregiver.,This field can be used to link back to providers in the original data. Useful for error checking of data transformations.
CHARTEVENTS,SUBJECT_ID,MEASUREMENT,person_id,Unique identifier for a patient.,The identifier of the individual for whom the measurement is recorded.
CHARTEVENTS,HADM_ID,MEASUREMENT,visit_occurrence_id,Unique identifier for a patient's hospital stay.,The identifier of the visit event during which the measurement occurred.
CHARTEVENTS,ICUSTAY_ID,MEASUREMENT,visit_detail_id,Unique identifier for a patient's stay in intensive care unit.,"The identifier of the detailed visit event, such as an intensive care unit stay."
CHARTEVENTS,ITEMID,MEASUREMENT,measurement_concept_id,Identifier for a single measurement type in the database.,The identifier used to define the primary measurement concept for analysis.
CHARTEVENTS,CHARTTIME,MEASUREMENT,measurement_datetime,Records the time at which an observation was made.,The precise date and time when the measurement was taken.
CHARTEVENTS,CGID,MEASUREMENT,provider_id,Identifier for the caregiver who validated the given measurement.,The identifier of the healthcare provider associated with the measurement record.
CHARTEVENTS,VALUE,MEASUREMENT,value_as_concept_id,Contains the measured value for the concept identified.,Identifies a categorical result for the measurement mapped to standard concepts.
CHARTEVENTS,VALUENUM,MEASUREMENT,value_as_number,Contains the same data in a numeric format.,"The numerical value of the measurement result, if available."
